,MM_smallgroup,Premium_smallgroup,Costs_smallgroup,Transfers_smallgroup,Premium_smallgroup_pmm,Costs_smallgroup_pmm,Transfers_smallgroup_pmm
0,33718.0,18451185.84,14293033.38,22831.39,547.2206489115606,423.89920457915656,0.6771276469541491
1,24712.0,12927536.0,11025731.0,78962.62,523.12787309809,446.169108125607,3.195314826804791
2,17725.0,9544365.0,7698574.0,24371.0,538.4691114245416,434.3342172073343,1.374950634696756
3,222340.0,142330402.0,109230046.0,-119931.53,640.1475308086714,491.2748313393901,-0.5394059998200953
4,25471.0,12303525.0,12800496.0,-317715.76,483.0405166660123,502.551764752071,-12.473627262376821
5,19426.0,11241863.88,9947569.94,311482.27,578.7019396684856,512.0750509626274,16.03429784824462
6,1199.0,287298.01,202121.04,-2634.74,239.61468723936613,168.57467889908258,-2.1974478732276896
7,3172685.0,1159220522.0,1013332161.0,1551403.36,365.3752332803288,319.3926157182323,0.4889875168823883
8,662.0,358219.36,233845.8588,-7318.77,541.1168580060423,353.2414785498489,-11.055543806646526
9,,,,,,,
10,21.0,28300.25,35358.5109,,1347.6309523809523,1683.7386142857144,
11,508.0,217551.0,182334.0,9879.88,428.25,358.9251968503937,19.44858267716535
12,1236.0,367011.0,114740.0,11262.04,296.93446601941747,92.83171521035598,9.111682847896441
13,48846.0,16240047.87,11239814.84,206168.06,332.47446812430906,230.10717029030013,4.220776726855832
14,16.0,7634.16,2597.73,4588.49,477.135,162.358125,286.780625
15,9583.0,3008863.55,2403457.36,-59273.72,313.97929145361576,250.80427423562557,-6.1852989669205884
16,25433.0,8822139.0,6151601.0,-1714074.57,346.8776392875398,241.87476900090434,-67.39568945857744
17,,,,,,,
18,,,,-44702.7,,,
19,7087.0,2709854.805,1857300.7759999998,-55065.97,382.3698045717511,262.0715078312403,-7.769997177931424
20,,,,,,,
21,233627.0,69239147.46,53748220.85,210345.0,296.3662053615378,230.05997102218495,0.9003454224040885
22,2722.0,1227528.855,720706.0656,27385.89,450.9657806759735,264.7707808963997,10.060944158706834
23,1051.0,479575.0,354935.0,-15335.35,456.3035204567079,337.7117031398668,-14.591198858230257
24,188500.0,60841577.98,46390373.0,-55681.1,322.7669919363395,246.102774535809,-0.29539045092838195
25,,,,-83211.31,,,
26,2438.0,814822.0,342574.0,-50048.48,334.2173913043478,140.5143560295324,-20.528498769483186
27,88397.0,27762879.73,21973496.14,-590630.26,314.07038394968157,248.5773967442334,-6.681564532733011
28,219225.0,78368658.29,54901181.19,387592.55,357.4804802828145,250.4330308587068,1.7680125441897594
29,,,,,,,
30,4501.0,2477584.3,1344622.33,-112065.94,550.4519662297267,298.73857587202843,-24.898009331259722
31,788859.0,248804438.0,200741058.0,381417.67,315.39785690471933,254.47013724886196,0.48350550605368003
32,13551.0,4798557.05,2651714.65,324131.01,354.1109180134307,195.68405652719355,23.919342483949524
33,456985.0,115413862.3,88144794.71,-3375392.32,252.55503419149426,192.8833434576627,-7.386221254526953
34,736.0,226843.8,139759.78,-8390.44,308.2116847826087,189.8910054347826,-11.400054347826087
35,518338.0,185536630.6,142491703.5,1494667.03,357.9452608143721,274.90113304446135,2.883576025682084
36,1883.0,813516.0,731071.0,-24005.57,432.0318640467339,388.2480084970791,-12.748576739245884
37,,,,,,,
38,,,,,,,
39,373703.0,112293780.0,99353625.0,335791.07,300.48937257661834,265.862529869977,0.89855064048188
40,130857.0,35206892.0,29333017.0,-2284176.05,269.0485950312173,224.16085497909933,-17.455512888114505
41,137933.0,40906031.07,31580879.01,-750038.97,296.5644992133862,228.95811016943009,-5.4377050452031055
42,70211.0,25719218.07,17565957.71,27209.69,366.31322826907467,250.18811454045664,0.38754169574568087
43,19748.0,7310972.0,5408849.0,700477.89,370.21328742151104,273.8935082033624,35.47082691918169
44,1784.0,600078.0,169085.0,-4301.51,336.3665919282511,94.7785874439462,-2.4111603139013456
45,355.0,122722.0,172220.0,-29408.53,345.69577464788733,485.1267605633803,-82.84092957746479
46,1257.0,424285.0,711194.5553,-12159.89,337.53778838504377,565.7872357199682,-9.67373906125696
47,955.0,225914.0,1003249.0,-615.14,236.55916230366492,1050.5225130890053,-0.6441256544502618
48,44258.0,11982328.0,10157241.0,784218.43,270.73812644041755,229.50067784355372,17.719246915811834
49,486523.0,165553635.3,125030828.0,2961325.69,340.2791549423152,256.9885246946188,6.086712632290765
50,,,,,,,
51,6627.0,2131596.38,1279498.75,-139332.36,321.65329409989437,193.07360042251395,-21.024952467179716
52,,,,,,,
53,919142.0,311994722.1,238168183.8,-23489767.02,339.44126380907414,259.1201183277448,-25.55618938096616
54,796551.0,292890651.0,237908427.8,-1519853.96,367.69855414154273,298.6731895383974,-1.9080435025503701
55,4307547.0,1908263332.0,1541940567.0,23364909.92,443.00464556741923,357.9625636121904,5.424179914926059
56,1599976.0,696601136.0,512106882.0,13755875.29,435.382240733611,320.07160232403487,8.597551019515292
57,21332.0,7427529.8,3522425.852,-3067299.35,348.18722107631726,165.12403206450404,-143.78864382148885
58,1428.0,647687.0,413240.0,,453.56232492997196,289.3837535014006,
59,2088.0,398585.0,28925.0,,190.89319923371647,13.852969348659004,
60,148.0,68126.0,54501.0,,460.31081081081084,368.25,
61,3571.0,1643630.0,863959.0,500462.21,460.2716325959115,241.93755250630076,140.1462363483618
62,739749.0,345866894.0,291941142.0,-1149328.11,467.54628123863637,394.64891740306507,-1.5536730837081227
63,2156540.0,729510318.0,576089197.0,-3718209.96,338.27812978196556,267.1358736680052,-1.7241553414265443
64,1079.0,1780064.44,1108870.888,8197.35,1649.7353475440223,1027.6838628359592,7.597173308619092
65,7801104.0,2799402854.0,2418407378.0,-6119361.66,358.8470111409872,310.008349843817,-0.7844225201971413
66,9335.0,5693815.0,4101097.0,-178446.96,609.9426888055705,439.3247991430102,-19.115903588644883
67,,,,,,,
68,,,,,,,
69,112929.0,39289431.0,36824423.63,-953791.37,347.9126796482746,326.0847402350149,-8.445938332934853
70,,,,,,,
71,,,,-132284.52,,,
72,407230.0,165917239.2,121360012.6,-2215283.01,407.4288220415981,298.01343859735283,-5.439881663924563
73,503041.0,208876000.5,164250781.5,4029609.65,415.22659286221204,326.5156945457726,8.010499442391376
74,344213.0,125095160.5,117231649.7,884571.67,363.42369550249407,340.5787977211785,2.569838065383934
75,,,,,,,
76,3932.0,1898315.0,987420.0,,482.7861139369278,251.12410986775177,
77,32144.0,11849046.0,9596015.0,-534596.16,368.6238800398208,298.5320744151319,-16.63128919860627
78,1277.0,543357.8159,409472.09,-97502.97,425.49554886452626,320.65159749412686,-76.35314800313235
79,,,,,,,
80,18150.0,7372858.057,4445705.824,-860371.91,406.21807476584024,244.9424696418733,-47.40341101928375
81,173854.0,66526525.99,51868806.79,-2841602.51,382.65743664224004,298.3469278244964,-16.344763479701356
82,11126.0,5631207.625,4453911.512,139778.65,506.13047141829946,400.3156131583678,12.563243753370482
83,664202.0,252131904.0,191884377.0,-3582183.17,379.601241790901,288.89460886898866,-5.393213465180773
84,1146.0,835784.0,661852.0,-49499.07,729.3054101221641,577.5322862129145,-43.1929057591623
85,,,,,,,
86,160207.0,71274962.0,65155446.0,404793.25,444.89293226887713,406.69537535813043,2.526688908724338
87,166386.0,67387595.0,59733996.0,-16089.07,405.00760280312045,359.00854639212434,-0.0966972581827798
88,722035.0,255605677.7,207341006.9,2272512.47,354.0073233292015,287.16198923874884,3.147371623259261
89,,,4212.0,,,,
90,648310.0,280237562.9,198285158.1,3694826.77,432.2585844734772,305.84929755826687,5.699166710370039
91,43061.0,16175416.41,11567384.27,1469933.76,375.639590580804,268.62785978031167,34.136080444021275
92,430042.0,137672108.2,112159752.0,2719970.89,320.1364243492496,260.8111579799182,6.324895917142977
93,882121.0,500253256.3,396965704.6,1456630.51,567.1027628862707,450.0127585671354,1.6512819783227017
94,,,,,,,
95,5600.0,2432484.0,1925908.0,,434.3721428571429,343.91214285714284,
96,,,,,,,
97,640290.0,279172554.0,202598000.0,-7957364.87,436.0095487982008,316.4159990004529,-12.427751284574178
98,56182.0,25832398.0,21425000.0,72069.21,459.79847638033533,381.34989854401766,1.2827811398668614
99,,,,9449.37,,,
100,3296.0,1586985.0,1099864.0,-532743.6,481.4881674757282,333.6966019417476,-161.63337378640776
101,842.0,358668.0,218499.85,-130325.86,425.9714964370546,259.50100950118764,-154.78130641330165
102,281054.0,142938889.7,109879146.9,4715438.4,508.5815882357127,390.95386260291616,16.777695389498106
103,71604.0,40895453.57,31791431.14,-86030.15,571.1336457460477,443.98959750851907,-1.201471286520306
104,,,,,,,
105,8132.0,3692360.4,2558128.85,-267093.84,454.0531726512543,314.5756087063453,-32.84479094933596
106,13487.0,4964111.28,2505012.86,-239619.32,368.0663809594424,185.73536442500185,-17.76668792170238
107,12722.0,5521646.6,3706209.64,400712.47,434.02347115233454,291.32287690614686,31.49760022009118
108,411734.0,152269134.8,104965401.5,-6732251.48,369.82404853619084,254.93498593752278,-16.350972909694125
109,491235.0,236772035.0,194179267.1,8238082.97,481.9934145571875,395.2879316416786,16.770146610074608
110,47595.0,17251303.0,13050697.0,-1598160.33,362.46040550477994,274.203109570333,-33.578323983611725
111,18132.0,8742977.64,5048615.38,186718.46,482.1849569821311,278.4367626296051,10.29773108316788
112,91860.0,42127448.09,26299888.7,-255482.82,458.60492151099504,286.3040354887873,-2.7812194644023513
113,43949.0,18139763.95,14820869.22,12382.86,412.74577237252265,337.22881567271156,0.2817552162734078
114,3228.0,1154242.05,877129.85,-77166.51,357.5718866171004,271.725480173482,-23.9053624535316
115,484.0,172444.0,146196.19,,356.2892561983471,302.0582438016529,
116,92287.0,39803491.0,29045100.08,235718.45,431.30116917875756,314.72580190059267,2.554189105724533
117,,,,-438027.53,,,
118,480.0,229862.0,563919.0,-2542.01,478.87916666666666,1174.83125,-5.295854166666667
119,767.0,554031.57,270814.34,-45756.59,722.3358148631029,353.08258148631035,-59.656571056062575
120,2760.0,809318.0,332136.0,-4709.65,293.2311594202898,120.3391304347826,-1.7063949275362318
121,2524.0,1361984.3,951311.16,320100.97,539.6134310618066,376.90616481774964,126.82288827258319
122,883049.0,352932902.3,252382480.2,389940.41,399.67533205971586,285.80801314536336,0.44158411367885586
123,92602.0,41514458.89,39498590.22,1330151.83,448.31060765426236,426.541437765923,14.364180363275093
124,43780.0,14036252.26,11037975.22,31520.79,320.60877706715394,252.12369164001828,0.7199814984010964
125,380802.0,150742989.0,114516701.0,-3118661.5,395.85661052200356,300.7250513390161,-8.189719329205204
126,2327073.0,987076548.0,733942944.0,4537166.63,424.1708566942249,315.3931758909153,1.9497311128615218
127,158719.0,63788638.0,58223242.0,635267.48,401.89667273609336,366.8322129045672,4.002466497394766
128,,,,,,,
129,90788.0,37182360.0,32340672.0,,409.55148257478965,356.221879543552,
130,14868.0,5455447.0,4886159.68,107518.39,366.9254102771052,328.6359752488566,7.231530131826742
131,229598.0,83445599.51,63931293.72,90797.9,363.4421881288165,278.4488267319402,0.39546468174809885
132,,49949.0,34866.78,,,,
133,63494.0,27353324.92,21480354.9,-69476.1,430.8017280372949,338.30527136422336,-1.0942152014363562
134,,,,,,,
135,90358.0,37592238.58,28549076.84,-761118.31,416.0366384824808,315.95516545297596,-8.423363841607827
136,8198.0,3194902.455,2369224.028,-391901.29,389.71730361063675,289.0002473774091,-47.80449987801903
137,491056.0,189981551.0,133425086.0,-1315788.63,386.88367721807697,271.7105299599231,-2.6795083045518227
138,7632.0,5754879.871,4584992.012,-116650.43,754.0461046907757,600.7589114255766,-15.284385482180292
139,,,,,,,
140,764794.0,287535172.8,224407722.2,-6552473.44,375.9642110162998,293.4224408141277,-8.56763185903655
141,439.0,148938.0,88361.0,-890.28,339.26651480637815,201.27790432801822,-2.027972665148064
142,,,,,,,
143,617289.0,255220968.3,191661545.7,-171191.73,413.45458658748174,310.48916423263654,-0.27732833405422747
144,939.0,270613.0,214297.8373,,288.19275825346114,228.21920905218317,
145,,,,,,,
146,1202.0,551841.0,209645.0,-119621.8,459.10232945091514,174.41347753743761,-99.5189683860233
147,1461398.0,663423655.1,460505640.0,3844812.86,453.9650766594727,315.11309034226133,2.630914275235083
148,,,,,,,
149,709422.0,274204859.4,205078644.9,1650597.6,386.5186861980598,289.0784961560256,2.3266794658186525
150,303393.0,108509725.0,83199239.46,-1390717.91,357.65401640776156,274.2292652104696,-4.583882653851605
151,270504.0,104309548.9,86694876.7,-3143639.65,385.6118537988348,320.49388068198624,-11.621416504007334
152,87967.0,49962801.0,40197875.0,-1464662.42,567.9720918071549,456.965396114452,-16.650134936964996
153,,,,-637297.59,,,
154,149454.0,78578048.88,56116289.88,1729140.2,525.7674527279296,375.4753293990124,11.569715096283806
155,1401272.0,535752414.2,399974320.3,2304375.99,382.33291909065474,285.43660352879385,1.6444887145393616
156,,,,,,,
157,46462.0,17323020.0,13638925.0,,372.84275321768325,293.5501054625285,
158,18018.0,7498695.55,7543299.49,-4418.49,416.1780192030192,418.6535403485404,-0.24522644022644022
159,791426.0,268652640.6,211925034.8,2304241.03,339.4538979007513,267.7761847601671,2.9115053460462503
160,36366.0,14644363.38,9691654.658,-55911.28,402.69381785183964,266.50318038827476,-1.5374602650827696
161,,,,,,,
162,1208242.0,436176868.0,347357106.8,-6158.42,361.0012464390412,287.4896807096592,-0.005097008711830908
163,8348.0,4736527.569,2450054.912,721767.42,567.3847111883086,293.49004695735505,86.45992093914711
164,7460.0,3237177.0,2360746.0,159888.81,433.9379356568365,316.4538873994638,21.4328163538874
165,265388.0,93245854.0,85180559.0,-2820212.21,351.35670791444977,320.96612883777715,-10.626751058827075
166,3962.0,2069631.0,2035971.0,-14361.39,522.3702675416456,513.8745583038869,-3.624782937910146
167,14058.0,6600323.715,6192441.084,-113027.35,469.50659517712336,440.49232351685873,-8.04007326789017
168,,,,,,,
169,31215.0,11276837.0,9072117.0,462396.82,361.2633990068877,290.63325324363285,14.813289123818677
170,177314.0,59541853.64,48014970.33,-510878.36,335.7989422155047,270.7906331705336,-2.8812071240849564
171,312624.0,114204152.3,79656773.09,2602799.56,365.30833301346024,254.800569022212,8.325654972107069
172,44914.0,21741409.78,15423228.78,-123324.74,484.06754642205107,343.39468272698934,-2.7457973015095516
173,,3181723.0,794741.97,-541621.36,,,
174,228322.0,71992002.0,59403027.0,-213033.45,315.30908979423793,260.1721559902243,-0.9330395231296152
175,1093845.0,430654359.0,376460841.0,5740424.58,393.7069319693375,344.16287591020665,5.247932367017265
176,321645.0,114632579.0,91878358.0,-4366914.44,356.39471777891777,285.6514418069611,-13.576814313917518
177,89.0,62198.76,18713.51,1398.35,698.8624719101124,210.26415730337078,15.711797752808987
178,319477.0,109937768.0,84797188.0,-620253.71,344.1179427627028,265.42501651136075,-1.9414659271246442
179,8220.0,2580853.0,2033671.27,-8630.65,313.97238442822385,247.40526399026766,-1.0499574209245741
180,,,,,,,
181,120387.0,38869431.96,46321167.41,-3442183.75,322.8706750728899,384.76884887903174,-28.592653276516568
182,29873.0,9528465.0,9852030.09,-19282.26,318.9657885046698,329.7971442439661,-0.645474508753724
183,73989.0,22483575.26,16697931.28,-142786.86,303.877269053508,225.68126721539687,-1.9298390301260997
184,27096.0,11360664.47,9318670.855,-24092.66,419.27459661942726,343.9131552627694,-0.8891592855033953
185,3587.0,1187398.0,1264653.0,-46725.06,331.02815723445775,352.5656537496515,-13.026222470030666
