,MM_individual,Premium_individual,Costs_individual,Transfers_individual,Premium_individual_pmm,Costs_individual_pmm,Transfers_individual_pmm
0,2906.0,958431.34,462786.99,-34550.55,329.8111975223675,159.25223331039228,-11.889384033035101
1,143355.0,78693115.0,105293849.0,12358455.76,548.9387534442468,734.497220187646,86.20875281643472
2,18660.0,8912183.0,8302282.0,-2908793.99,477.608949624866,444.92400857449087,-155.88392229367633
3,1050.0,448136.0,916563.0,,426.7961904761905,872.9171428571428,
4,159592.0,93990086.0,146808709.0,-9415111.19,588.9398340768961,919.9001767005865,-58.99488188631009
5,63.0,46308.04,46241.06,,735.048253968254,733.9850793650793,
6,8015.0,2778694.0,2867433.0,-223260.2,346.68671241422334,357.75832813474733,-27.855296319401123
7,80011.0,26352276.29,29268855.5255,-3473430.83,329.3581668770544,365.81039513941835,-43.41191623651748
8,,,,,,,
9,2535110.0,803165836.0,1033752425.0,13434646.95,316.81695705511794,407.77418928567204,5.2994335354284425
10,229.0,107151.0,812.0,,467.90829694323145,3.5458515283842793,
11,7077.0,2060581.79,1537350.79,-805865.4,291.1660011304225,217.23198954359194,-113.87104705383638
12,233318.0,76838688.38,87467271.39,-8989541.02,329.3303061915497,374.8843697871574,-38.5291362860988
13,700.0,283446.31,172189.06,,404.9233,245.98437142857142,
14,,,,,,,
15,248.0,53139.0,120337.0,57450.42,214.2701612903226,485.22983870967744,231.6549193548387
16,,,,,,,
17,356.0,128379.22,38490.31,,360.6157865168539,108.11884831460674,
18,15038.0,5306873.0,7590690.0,-668914.23,352.8975262667908,504.7672562840803,-44.481595291927114
19,,,,-2751129.36,,,
20,539.0,223170.0,55766.0,,414.04452690166977,103.46196660482374,
21,7917.0,2593474.69,3610832.45,-280355.58,327.58300997852723,456.0859479600859,-35.41184539598333
22,,,,-15072.7,,,
23,740.0,191137.0,67604.0,-5029.01,258.29324324324324,91.35675675675675,-6.79595945945946
24,511698.0,178753728.3477,191626223.44511983,-10893205.76,349.33442840835806,374.4908587587206,-21.288349299782293
25,18.0,7065.0,3756.56,,392.5,208.6977777777778,
26,324884.0,115427342.65,148306395.28,6656762.38,355.28786474557074,456.4903020154886,20.48965901675675
27,3088102.0,942571978.65,1148724125.6500006,8441174.73,305.2269577397379,371.98386764750666,2.733450750655257
28,1564.0,654047.07,501682.0,,418.18866368286444,320.7685421994885,
29,,,,,,,
30,8077.0,1784005.94,1254218.0495,-484230.53,220.87482233502539,155.28266057942304,-59.951780363996534
31,,,,,,,
32,16365.0,5082191.0,5778329.0,856409.75,310.55245951726243,353.0906813321112,52.331790406355026
33,171.0,112639.71,159460.77,,658.7117543859649,932.5191228070175,
34,408507.0,131907279.0,288203286.0,26294064.75,322.9009025549134,705.5039105817036,64.3662525978747
35,1857597.0,542138872.72,597086526.71,20131634.31,291.84956302147344,321.42952788468114,10.837460606364028
36,,,,,,,
37,525565.0,110954506.0,113931264.0,-48452998.55,211.1147165431488,216.7786363247172,-92.19220943175439
38,3091.0,355126.0,76279.06723196305,-247328.86,114.89032675509544,24.677795933989987,-80.0158071821417
39,54591.0,15798846.0,12122248.972500002,689053.89,289.40385777875474,222.05581455734466,12.62211518382151
40,58566.0,13465931.75,12713287.44290283,-5999819.7,229.9274621794215,217.07624633580627,-102.44544104087696
41,,,,,,,
42,2690.0,862943.0,295044.0,,320.7966542750929,109.6817843866171,
43,172.0,72532.0,289093.0,168620.34,421.69767441860466,1680.7732558139535,980.3508139534883
44,105.0,25975.82,16675.03,,247.3887619047619,158.80980952380952,
45,137808.0,40988927.0,76820522.0,11878587.57,297.43503279925693,557.4460263555092,86.19664729188436
46,7959.0,3526468.74,2392772.56,,443.07937429325295,300.6373363487875,
47,127740.0,33153017.92,25205733.12,-3663100.18,259.5351332393925,197.32059746359795,-28.67621872553625
48,11908.0,4425413.0,6759424.0,2978136.23,371.6336076587168,567.63721867652,250.0954173664763
49,92463.0,24466345.22,15147518.560000002,-9792044.0,264.6068721542671,163.8224863999654,-105.90229605355655
50,17049.0,6337200.43,7551443.03,784206.91,371.7051105636694,442.92586251393044,45.99723796117075
51,409710.0,93736793.0,139654977.38000005,1953496.4,228.78815015498768,340.8629942642358,4.767997852139318
52,37735.0,11365541.0,25838238.0,-558586.58,301.1936133563005,684.7287133960514,-14.80287743474228
53,3113.0,1710434.0,2478740.0,,549.4487632508834,796.2544169611307,
54,98433.0,29722210.17,40129573.55,2979667.72,301.9537164365609,407.6841460688996,30.271024148405516
55,199582.0,60304876.0,28198872.0,-25983024.62,302.15588580132476,141.28965537974366,-130.18721437805013
56,2133.0,804160.83,1476307.62,,377.00929676511953,692.1273417721519,
57,,,,,,,
58,7358067.0,2764613657.122,2568707976.67,-26380560.05,375.7255345897231,349.10092238491444,-3.5852568412328947
59,842.0,74003.11,33189.3,-165775.07,87.88967933491686,39.41722090261283,-196.88250593824228
60,294886.0,101545360.0,116800407.0,5953639.83,344.3546319594691,396.0866470432642,20.189632027291903
61,7551901.0,2864002080.0,2536678058.0,-82078859.73,379.2425350914955,335.8992733088,-10.868635556795567
62,15408.0,7411703.3500000015,5604240.789999999,,481.02955282969896,363.7227927050882,
63,155023.0,70273738.3,24778424.53955945,-28712244.96,453.31169116840726,159.83708571992187,-185.21280687381872
64,3275.0,1498719.36,2149910.87,,457.6242320610687,656.4613343511451,
65,,,,,,,
66,720760.0,278139241.0,441889313.0,63308434.85,385.8971654919807,613.0880084910373,87.83566631056108
67,1277.0,687072.76,577429.05,309874.09,538.0366170712608,452.1762333594362,242.65786217697732
68,,,,,,,
69,2736915.0,895993865.0,681419303.0,-125635855.9,327.37365427863125,248.97349862893074,-45.904186246193255
70,,,,,,,
71,6984408.0,2658951422.0,2638243806.0,181516599.0,380.6981811486385,377.73334633371934,25.988830978946247
