,MM_individual,Premium_individual,Costs_individual,Transfers_individual,Premium_individual_pmm,Costs_individual_pmm,Transfers_individual_pmm
0,139893.0,115629307.0,109150932.7,-11418310.77,826.5553458714875,780.2458500425325,-81.62174497651776
1,242.0,166157.31,24287.02,,686.6004545454546,100.3595867768595,
2,98.0,90867.45,120023.12,,927.2188775510203,1224.7257142857143,
3,116214.0,86269350.0,83903892.0,11418310.79,742.3318188858485,721.9774898032939,98.25245486774398
4,,,,,,,
5,409511.0,150890234.9,165069135.7,-10457177.89,368.46442439885624,403.0884047070774,-25.53576800134795
6,577.0,218499.87,182329.89,,378.68261698440205,315.9963431542461,
7,,,,,,,
8,2156818.0,846364917.0,973600832.0,24939398.79,392.4136932277086,451.40611400683787,11.563052047043376
9,174907.0,63005698.43,59951019.03,-13518890.18,360.2239957806148,342.7594037402734,-77.29187613989149
10,7809.0,2738518.56,2428831.42,-959823.85,350.68748367268535,311.02976309386605,-122.91251760788833
11,136.0,39627.0,73144.0,-3506.92,291.375,537.8235294117648,-25.786176470588234
12,1130.0,455169.76,299533.04,,402.80509734513276,265.0734867256637,
13,77542.0,27965799.21,27667235.53,-3066401.15,360.6535710969539,356.80322315648294,-39.54503559361378
14,,,,,,,
15,,,,6169439.47,,,
16,396976.0,134121060.4,193390442.4,2856187.95,337.85684877675226,487.1590282535972,7.19486303957922
17,,,,,,,
18,,,,-12964.94,,,
19,341.0,143906.32,52986.13,,422.0126686217009,155.38454545454545,
20,3252818.0,1119572863.0,1346911505.0,-1661548.73,344.18552252231757,414.0752741161663,-0.5108028577067638
21,645597.0,223290186.6,250007555.2,-3996497.96,345.8662084860989,387.25018115016024,-6.190391157331896
22,6740.0,2596462.56,3918316.96,-189796.85,385.2318338278932,581.3526646884272,-28.15977002967359
23,6183.0,1351592.12,1182334.65,-106659.16,218.59811094937734,191.22345948568653,-17.250389778424715
24,626.0,158354.0,91395.0,8241.41,252.96166134185304,145.99840255591053,13.165191693290735
25,67920.0,21632437.19,33170875.72,6251937.97,318.4987807714959,488.38156242638394,92.04855668433451
26,217218.0,60980911.78,88094557.05,9901556.2,280.7359969247484,405.55827348562275,45.583497684353965
27,1672386.0,566217459.2,551785277.1,29716531.05,338.5686433634341,329.93894776684334,17.768942726140974
28,183.0,109675.26,30986.21,,599.3183606557377,169.3235519125683,
29,97980.0,28240828.17,30256833.69,-1311469.26,288.23053857930194,308.80622259644826,-13.385071034905083
30,45447.0,14402982.0,14006163.0,-1946342.41,316.9182124232623,308.18674499966994,-42.82664224261227
31,,,,,,,
32,145994.0,35531324.0,27961319.73,-8516682.29,243.37523459868214,191.5237594010713,-58.33583770565913
33,5370.0,2334374.0,4529617.0,1169118.87,434.7065176908752,843.5040968342645,217.71301117318438
34,718276.0,232911774.6,236793828.3,2463235.36,324.26501038597974,329.66969284787467,3.429371662146584
35,191.0,39627.09,4340745.04,41466.11,207.47167539267014,22726.41382198953,217.10005235602094
36,8232.0,3630950.63,3739603.56,,441.07757896015545,454.2764285714286,
37,66448.0,16275889.84,33228323.73,5075983.13,244.9417565615218,500.0650693775584,76.39030715747653
38,356225.0,79054583.0,57362792.41,-32866201.1,221.9231749596463,161.02966498701662,-92.26247764755422
39,124255.0,40067897.67,49551786.7,-9159037.15,322.46507319624965,398.79108848738485,-73.71161844593779
40,55822.0,19215156.59,18384841.95,-819920.79,344.2219302425567,329.3476039912579,-14.68812994876572
41,77.0,17370.0,17386.0,-175.68,225.58441558441558,225.7922077922078,-2.281558441558442
42,7386281.0,2899936689.0,2664433592.0,-182807948.2,392.61120569336583,360.72735277739906,-24.749660647895737
43,2083374.0,732748701.6,608224981.5,-53862013.99,351.71251133977864,291.9422924064522,-25.8532620595246
44,293.0,86943.05,3121174.22,,296.7339590443686,10652.471740614335,
45,4715.0,2295597.16,2683968.02,,486.8710837751856,569.24030116649,
46,10875.0,4979278.0,4054261.0,52744.83,457.8646436781609,372.8056091954023,4.850099310344827
47,324858.0,131730201.0,122381020.0,5351707.64,405.50086807158823,376.72158296855855,16.47399060512593
48,10293.0,4565554.32,4285516.25,,443.55914893617023,416.3524968425143,
49,154960.0,70383906.83,35832049.9,-24844080.41,454.2069361770779,231.23418882292202,-160.3257641326794
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,114249.0,52425442.0,47458058.03,-4446832.83,458.8700294969759,415.3914522665406,-38.92229104849933
54,7162.0,3745286.25,1882111.11,,522.9385995531974,262.79127478358004,
55,328744.0,169810875.1,280252072.4,65553512.41,516.5444087192466,852.4933455819726,199.4059584661621
56,8342490.0,3331546180.0,3407583852.0,265442825.1,399.3467394027443,408.46124502396765,31.818177198893856
57,7425788.0,2934404826.0,2952584864.0,49496966.88,395.16409921748374,397.6123293581772,6.665550764444124
58,792947.0,247229762.0,108535836.0,-106521339.27,311.78598569639587,136.87653273169582,-134.33601397066892
59,127728.0,44046851.51,27395497.21,-12354890.24,344.8488311881498,214.48309853751724,-96.7281272704497
60,49187.0,13994688.41,10996857.35,-4894494.13,284.52006444792323,223.5724347896802,-99.50788074084616
61,36673.0,17269187.0,13356316.0,-2983496.65,470.896490606168,364.200256319363,-81.35403839336841
62,12585.0,6212695.1,8948337.27,425818.57,493.65872864521253,711.0319642431466,33.83540484704013
63,203893.0,78456145.0,97466924.0,6391520.32,384.79077261112445,478.02977051688873,31.347423991995804
64,66639.0,26572408.43,35061697.98,6746077.39,398.7516083674725,526.1438193850447,101.2331726166359
65,381552.0,136955596.5,107135236.3,-22957774.05,358.94346380047807,280.7880349205351,-60.16945016668764
66,1287943.0,402547882.0,378221551.0,-59023683.88,312.55100730389466,293.6632684831549,-45.82786961845361
67,148133.0,86666275.0,105268457.0,10483559.33,585.0571783464859,710.6347471528964,70.77126183902304
68,107490.0,38473280.96,55122389.97,19133063.67,357.924280956368,512.8141219648339,177.99854563215183
69,3019.0,1895256.09,1119818.11,,627.776114607486,370.92352103345485,
70,,,,,,,
71,151321.0,63697696.0,58699592.0,-2794252.54,420.9441914869714,387.91438068741286,-18.465728748818737
72,14536.0,4810241.0,2796922.79,719860.7,330.9191662080352,192.41351059438637,49.522612823335166
73,879410.0,370760496.5,420520351.5,43292191.96,421.6014106048373,478.18463685880306,49.22867827293299
74,,,,,,,
75,15932.0,7545206.71,5549825.71,,473.588169093648,348.3445713030379,
76,121338.0,36391880.64,31886953.97,-2721557.27,299.9215467536963,262.79445820765136,-22.429554385270897
77,2558.0,947270.0,3221773.0,530940.43,370.31665363565287,1259.4890539483972,207.56076231430808
78,3267.0,1781624.24,1860916.19,939139.28,545.3395286195287,569.6100979491888,287.4622834404653
79,336710.0,115375928.0,117857758.0,1238103.55,342.6566719135161,350.02749547088,3.677062011820261
80,65010.0,22453450.1,21889130.32,1604316.11,345.3845577603446,336.70405045377635,24.67798969389325
81,2490.0,1167062.43,3274884.0,2810015.23,468.6997710843373,1315.2144578313253,1128.520172690763
82,,,,,,,
83,176948.0,80188268.15,100808441.7,-745863.3,453.17419891719607,569.7065900716594,-4.215155299862107
84,515079.0,193570640.1,205709363.6,-25322894.3,375.8076724152994,399.37439421913916,-49.16312701546753
85,7751.0,2880064.18,2328469.831,-1145321.71,371.57323958198947,300.4089576828796,-147.76438007998968
86,27478.0,13602441.52,18958398.21,2483964.33,495.030261299949,689.9482571511755,90.39829427178107
87,404.0,219277.13,221924.36,,542.7651732673268,549.3177227722772,
88,,,,,,,
89,56861.0,24941307.12,22355443.86,789659.17,438.63644888412097,393.1595269165157,13.887535745062522
90,6822.0,4713848.61,4244556.35,,690.9775153913808,622.1865068894751,
91,638612.0,281630564.5,310504939.2,24193391.03,441.004184857159,486.2184537716172,37.88433513620164
92,610498.0,272887365.9,278027677.8,-1673116.38,446.99141667949766,455.41128357504857,-2.740576349144469
93,42488.0,18882951.75,15509827.5,-418099.6,444.43023324232723,365.04018781773675,-9.840416117491998
94,9584.0,4945107.28,5683843.72,810976.08,515.9753005008348,593.055479966611,84.61770450751251
95,6669.0,2992995.0,5399617.0,1027304.78,448.7921727395412,809.6591692907482,154.0418023691708
96,110621.0,27910624.1,26359366.05,-7984910.32,252.3085499136692,238.2853712224623,-72.18259028575045
97,2603.0,1111059.47,-2838024.02,,426.838059930849,-1090.2896734537073,
98,28489.0,9015097.0,9548927.0,-1825261.64,316.44132823194917,335.17943767770015,-64.06899645477202
99,12.0,,10724.25,,,893.6875,
100,258.0,104974.72,96648.02,,406.8787596899225,374.60472868217056,
101,6.0,2017.25,42.66,,336.2083333333333,7.109999999999999,
102,172.0,89196.52,49001.37,,518.5844186046512,284.89168604651167,
103,105899.0,41460173.05,59142396.25,9810171.94,391.506747466926,558.4792703424962,92.63705927345866
104,22659.0,9954488.68,11091264.04,-617987.08,439.3172108213072,489.4860338055518,-27.27336069552937
105,294.0,124470.32,17973.05,,423.36843537414967,61.1328231292517,
106,,,,,,,
107,,,,,,,
108,17224.0,7435683.86,5513011.15,-1048438.16,431.7048223409197,320.07728460287973,-60.87077101718533
109,,,,1665503.0,,,
110,3013.0,1277647.86,730562.83,922.26,424.04509127115836,242.4702389644872,0.30609359442416195
111,2717429.0,1038344661.0,1055850578.0,-6728057.44,382.1055346800229,388.5476227713769,-2.4758907923629283
112,2637265.0,1022259090.0,1117504369.0,-1588085.51,387.62092167453784,423.7360936424667,-0.602171382094708
113,345768.0,127267834.0,123194512.0,-5705014.67,368.07291015941325,356.29240415538743,-16.499544983919854
114,1050397.0,474737313.1,609487747.2,93698886.73,451.95989049854484,580.2451332210584,89.2033076351132
115,170681.0,73112102.12,67802664.04,1792502.93,428.355248211576,397.2478719951254,10.50206484611644
116,219946.0,86352286.73,77817714.88,-11167504.61,392.60676134142017,353.80372855155355,-50.77384726250989
117,3307.0,841052.42,544300.5391,,254.32489265195042,164.5904260961597,
118,7094.0,3953536.42,2592755.81,,557.3070792218776,365.4857358330984,
119,181.0,66527.07,14635.22,,367.55287292817684,80.85756906077347,
120,137234.0,38957988.65,28694534.48,-2944845.74,283.8800053193815,209.09202151070434,-21.458572511185277
121,2554014.0,866170700.0,721852379.9,-112203006.16,339.14093658061387,282.6344647680083,-43.93202471090605
122,,,,,,,
123,17849.0,7536015.89,6111808.46,-1657914.8,422.2094173343044,342.4174161017424,-92.88558462658973
124,34121.0,18908544.2,14725667.31,,554.1614899915008,431.57197356466696,
125,524977.0,187980194.5,148120335.6,-19679828.24,358.07320034972963,282.14633326793364,-37.48702941271713
126,7012969.0,2855099437.0,3072017634.0,464434259.85,407.1170765192317,438.04808405683815,66.22505530111427
127,2589371.0,868088165.0,664080390.0,-252569063.08,335.25059367699725,256.4639790899025,-97.54070122821334
128,1270638.0,428301633.3,250002700.6,-160888837.15,337.0760462854094,196.75367854573844,-126.62051437939051
129,1528.0,8436.0,220925.0,-247811.02,5.520942408376963,144.58442408376965,-162.17998691099476
130,6944.0,2475206.0,3616725.0,173446.74,356.4524769585253,520.8417338709677,24.977929147465435
131,141757.0,69928875.78,82290333.81,3944039.65,493.3010417827691,580.5027886453579,27.82253892224017
132,110620.0,51983771.0,62971090.0,11336832.52,469.931034171036,569.2559211715784,102.48447405532453
133,2245359.0,895686097.9,1304791602.0,143941804.74,398.90551929557813,581.1060066563966,64.1063655032447
134,601.0,246038.94,179638.37,,409.3825956738769,298.89911813643926,
135,1018921.0,352928824.6,302397410.9,-49061684.16,346.3750620509343,296.78199870254906,-48.15062616238158
136,431250.0,145327081.0,155618578.0,-16261579.31,336.9903327536232,360.85467362318843,-37.7080099942029
137,220073.0,101678483.8,152925774.8,26478561.73,462.02161918999604,694.8865821795496,120.31717534636235
138,126994.0,57371368.64,71751937.82,6096822.55,451.76440335763897,565.0025813817975,48.00874490133392
139,,,,,,,
140,,,,,,,
141,109504.0,37615447.14,63306860.86,-280650.18,343.50751698568087,578.1237293614845,-2.5629217197545295
142,,,,,,,
143,3794.0,1389158.73,743344.81,-131960.47,366.1462124406958,195.92641275698472,-34.781357406431205
144,6.0,2259.0,,,376.5,,
