,HIOS ID,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
140,16072.0,300025.67,254744.52,,3060.0,98.04760457516339,83.2498431372549,,14.797761437908491
147,65441.0,355126.0,76279.06723,-247328.86,3091.0,114.89032675509544,24.6777959333549,-80.0158071821417,90.21253082174054
153,80431.0,421461.0,432622.0,-7622.19,2028.0,207.82100591715977,213.32445759368835,-3.7584763313609466,-5.503451676528584
160,41549.0,558542.0,464989.0,,2897.0,192.80013807386953,160.5070762858129,,32.29306178805663
162,63474.0,608257.0,606509.0,-143117.09,2095.0,290.33747016706445,289.5031026252983,-68.31364677804295,0.8343675417661416
165,67088.0,631438.0,349806.0,,2057.0,306.9703451628585,170.0563928050559,,136.9139523578026
166,89728.0,643822.0,271989.0,,2384.0,270.0595637583893,114.08934563758389,,155.97021812080538
169,83808.0,647952.86,526416.9,-199659.48,2953.0,219.4218963765662,178.26512021672875,-67.61242126650863,41.15677615983745
176,84600.0,690716.26,398728.39,,2813.0,245.54435122644864,141.74489512975472,,103.79945609669392
179,80698.0,715408.0,226936.0,,2420.0,295.62314049586774,93.77520661157025,,201.8479338842975
180,94720.0,731543.0,1070851.0,,2435.0,300.4283367556468,439.77453798767965,,-139.34620123203285
181,82506.0,740957.0,602404.0,26867.72,3229.0,229.46949519975226,186.5605450603902,8.320755651904614,42.90895013936205
183,73250.0,780401.94,602279.61,-207447.42,2633.0,296.39268515001896,228.74273072540828,-78.78747436384353,67.64995442461068
185,20523.0,804160.83,1476307.62,,2133.0,377.00929676511953,692.1273417721519,,-315.1180450070324
187,41240.0,835630.0,581247.0,,2136.0,391.2125468164794,272.1193820224719,,119.09316479400752
189,23468.0,841575.83,325591.797,74763.49,2381.0,353.4547795044099,136.74581982360354,31.400037799244018,216.70895968080634
190,64206.0,854241.0,281775.0,,3055.0,279.62062193126025,92.23404255319149,,187.38657937806875
191,73893.0,862943.0,295044.0,,2690.0,320.7966542750929,109.6817843866171,,211.11486988847582
192,18699.0,866073.9,1267689.57,,2289.0,378.3634338138925,553.8180733944954,,-175.45463958060287
194,10958.0,899910.21,547940.29,,2218.0,405.7304824165915,247.04251127141572,,158.68797114517577
